Resumen ×,Telefono ×,Tamano ×,Ubicacion ×,Sector ×,Sede ×,Codigo_postal ×,Ciudad ×
"Somos una empresa mexicana con equipos a la vanguardia, nos dedicamos al cuidado de los equipos eléctricos a través de la realización de análisis al a...",,11-50 empleados,"Principal
155, Ecatepec, Estado de México 55400, MX",Fabricación de semiconductores de energías renovables,"Ecatepec, Estado de México",55400,Ecatepec
"CALZADA LA LAGUNA 117 0, Ecatepec De Morelos 55490, MX",,51-200 empleados,"CALZADA LA LAGUNA 117 0, Ecatepec De Morelos 55490, MX",Transporte de mercancías y paquetes,,55490,Ecatepec
"AVENIDA AVENIDA VÍA MORELOS 54, Ecatepec De Morelos 55310, MX",,2-10 empleados,"AVENIDA AVENIDA VÍA MORELOS 54, Ecatepec De Morelos 55310, MX",Fabricación de vehículos de motor,,55310,Ecatepec
"Swith On Mx, somos especialistas en apoyar a las empresas a humanizar su marca, escribir y acercarse a su público a través de contenido enriquecedor. ...",5549462468,2-10 empleados,"Principal
Sede
Estado de Mexico, Tlalnepantla de Baz 54190, MX",Servicios de publicidad,"Estado de Mexico, Tlalnepantla de Baz",54190,Ecatepec
"AVENIDA GOBERNADOR IGNACIO PICHARDO PAGAZA, AVENIDA CAMINO A NVA. ARAGÓN 0 SN, Ecatepec De Morelos 55240, MX...",,11-50 empleados,"AVENIDA GOBERNADOR IGNACIO PICHARDO PAGAZA, AVENIDA CAMINO A NVA. ARAGÓN 0 SN, Ecatepec De Morelos 55240, MX",Educación primaria y secundaria,,55240,Ecatepec
"Somos una empresa mexicana dedicada a los sistemas de seguridad ya sean suministros, proyección, instalación, programación y mantenimiento.

Nos mante...",55 91 32 15 24,2-10 empleados,"Principal
Sede
Calle Ecatepec de Morelos, Gustavo Baz, México 55120, MX",Servicios de sistemas de seguridad,"Gustavo Baz, México",55120,Ecatepec
"AUTOPISTA MEXICO - PACHUCA S/N, Ecatepec, México mx",,,"AUTOPISTA MEXICO - PACHUCA S/N, Ecatepec, México mx",Administración pública,"Ecatepec, México",,Ecatepec
"AVENIDA LOURDES 1315 MANZANA 13 LOTE 15, Ecatepec De Morelos 55130, MX",,11-50 empleados,"AVENIDA LOURDES 1315 MANZANA 13 LOTE 15, Ecatepec De Morelos 55130, MX",Fabricación de alimentos y bebidas,,55130,Ecatepec
"Somos una pequeña empresa que ofrece servicios de publicidad digital y manejo de redes sociales, creación de redes sociales...",5518382783,2-10 empleados,"Principal
Estado de México , ESTADO DE MEXICO 55069, MX",Servicios de publicidad,"Estado de México , ESTADO DE MEXICO",55069,Ecatepec
"Servicio de Mantenimiento Preventivo para Equipo de Computo desde una plataforma de agenda de citas para la aplicación de los servicios, con visión de...",5556999818,2-10 empleados,"Principal
Sede
Av. Miguel Hidalgo, 40-14, Ecatepec, México 55490, MX",Servicios y consultoría de TI,"Ecatepec, México",55490,Ecatepec
"CALLE CHOPO 40, Ecatepec De Morelos 55340, MX",,51-200 empleados,"CALLE CHOPO 40, Ecatepec De Morelos 55340, MX",Fabricación de productos químicos,,55340,Ecatepec
"Somos una empresa líder con experiencia en la recuperación, destrucción, separación y comercialización de diferentes materiales reciclables tales como...",773 733 0098,51-200 empleados,,Comercio al por mayor de materiales reciclables,"Tepeji del Río, Hidalgo",,Ecatepec
"El tiempo no regresa, no se genera, solo se gasta. Es por esto que nace Global Jet Set. No solo ofrecemos comodidad, seguridad y placer, sino el cuida...",,11-50 empleados,"Principal
Franquia
Calle Cancún, sala 01 andar 3, Ecatepec de Morelos, México 77500, MX",Gestión de inversiones,"Ecatepec de Morelos, México",77500,Ecatepec
"AVENIDA DE LAS BOMBAS 0 SN, Ecatepec De Morelos 55065, MX",,11-50 empleados,"AVENIDA DE LAS BOMBAS 0 SN, Ecatepec De Morelos 55065, MX",Agricultura,,55065,Ecatepec
"Nos dedicamos a la fabricación de artículos publicitarios como Banderas, stands, Carpas, Skydancer, inflables.
ponte en contacto conmigo para solicita...",,11-50 empleados,"Principal
COLOR PUBLICITARIO
Calle Duraznotitla, Nte San Pedro Xalostoc, México 55310, MX",Servicios de publicidad,"Nte San Pedro Xalostoc, México",55310,Ecatepec
"En Arguz & Asociados, contamos con más de 28 años de experiencia en el sector, brindando servicios personalizados y eficientes para ayudar a nuestros ...",5553376864,11-50 empleados,"Principal
Sede
Segundo Piso, Circuito Ingenieros 16, Cd. Satélite, Naucalpan de Juárez 53100, MX, Andador Tizayuca, Venta de Carpio, México 55060, MX",Contabilidad,"Cd. Satélite, Naucalpan de Juárez",53100,Ecatepec
"CALLE CIRCUNVALACIÓN PONIENTE 41, Ecatepec De Morelos 55450, MX",,51-200 empleados,"CALLE CIRCUNVALACIÓN PONIENTE 41, Ecatepec De Morelos 55450, MX",Educación primaria y secundaria,,55450,Ecatepec
Isotrol es el líder mundial del mercado en soluciones de software de trading de energía y soluciones de control de plantas de energía renovable emplea...,,201-500 empleados,,Servicios y consultoría de TI,"Sevilla, Sevilla",,Tapachula
"UNID es un sistema universitario multicampus con un modelo educativo caracterizado por su calidad académica y por brindar formación integral, valores ...",,1001-5000 empleados,"Principal
CEDAE
Calle Padre Mier Poniente, 467, Monterrey Centro, Nuevo León 64000, MX, UNID Campus Durango
Boulevard General Guadalupe Victoria, Colonia Benjamín Méndez., 115-2, Durango, Estado de Durango 34020, MX, UNID Campus Uruapan
Carretera Uruapan-Pátzcuaro (actualmente Calzada Benito Juárez), esquina Paseo de la Cima, Colonia Lomas del Valle Norte., 1390, Uruapan, Estado de Michoacán C.P. 60110, , MX, UNID Campus Valle de Chalco
Poniente 13 Mz-96-A, Lt 03 Colonia San Miguel Xico III Sección., Valle de Chalco Solidaridad, Estado de México 56613, MX, UNID Campus Tuxtepec
Avenida Independencia, Colonia La Piragua, , 1026, San Juan Bautista Tuxtepec, Estado de Oaxaca 68310 , MX, UNID Campus Tehuacán
Avenida José Garci-Crespo , San Nicolás Tetitzintla,, 2421, Tehuacán, Estado de Puebla 75710 , MX, UNID Campus Tampico
Avenida Hidalgo, esquina Nogal, Colonia Águila, 2700, Tampico, Estado de Tamaulipas 89230, MX, UNID Campus Aguascalientes
Avenida Convención de 1914 , poniente, 1204, Aguascalientes, Aguascalientes 20040, MX, UNID Campus Ensenada
Boulevard Las Dunas, Fraccionamiento Playa Ensenada, 115, Ensenada, Baja California 22880, MX, UNID Campus Tijuana
Rampa Aeropuerto, Parque Industrial Internacional Tijuana, 16002, Tijuana, Baja California 22424, MX, UNID Campus Campeche
Avenida Resurgimiento, Colonia Bosques de Campeche, 611, Campeche, Campeche 24030, MX, UNID Campus Ciudad del Carmen
Calle 19, entre 42D y 42E, Colonia Tacubaya, 263, Ciudad del Carmen, Campeche 24120, MX, UNID Campus Villahermosa
Calle Reforma, Colonia Atasta, , 100, Villahermosa, Centro, Estado de Tabasco 86100, MX, UNID Campus Tapachula
Avenida Novena Norte, Colonia Centro, 105, Tapachula, Chiapas 30700, MX, UNID Campus Saltillo
Avenida El Rosario, Fraccionamiento El Rosarito, 142, Saltillo, Coahuila 25297, MX, UNID Ciudad del Carmen
Calle 19, Colonia Tacubaya, , 263, Ciudad del Carmen , Estado de Campeche 24180, MX, UNID Campus Gómez Palacio
Boulevard Miguel Alemán Esquina Aldama, Planta Baja (Primer Piso) y Segundo Nivel (Segundo Piso) Plaza Imagen, Colonia Las Rosas, Gomez Palacio, Estado de Durango 35080, MX, UNID Campus Acapulco
Avenida Costera Miguel Alemán, Fraccionamiento Club Deportivo, 2701, Acapulco de Juárez, Estado de Guerrero. 39690, MX, UNID Campus Pachuca
Boulevard Everardo Márquez, Colonia Adolfo López Mateos., 105, Pachuca de Soto, Estado de Hidalgo 42092, MX, UNID Campus Tula
Melchor Ocampo, Colonia Centro, C.P. 42800., 103, Tula de Allende, , Estado de Hidalgo 42800, MX, UNID Campus Ocotlán
Avenida Universidad, Centro Comercial Plaza Ocotlán, Locales L67, L68 y L69, Colonia La Floresta., 950, Ocotlán, Estado de Jalisco 47840, MX, UNID Campus Tepatitlán
Ricardo Alcalá Iñiguez, Fraccionamiento Los Álamos, , 369, Tepatitlán de Morelos, Estado de Jalisco 47600, MX, UNID Campus Guadalajara
Avenida López Mateos Sur, Esquina Ahuehuetes, Colonia Rinconada del Sol, 2221, Zapopan , Estado de Jalisco 45050, MX, UNID Campus Cotija
Justo Sierra, Colonia Acapulquito., 288, Cotija de la Paz, Estado de Michoacán 59940, MX, UNID Campus Morelia
Avenida Lázaro Cárdenas, Colonia Cuauhtémoc, Morelia, Estado de Michoacán 58020, MX, UNID Campus Ocolusen
Baltazar Echave, Colonia Ocolusen., 255, Morelia, Estado de Michoacán 58270, MX, UNID Campus Sahuayo
Cancún, Fraccionamiento Miradores del Tepeyac., 1109, Sahuayo, Estado de Michoacán 59040, MX, UNID Campus Toluca
Boulevard Toluca-Metepec norte, Colonia La Michoacana, , 239, Metepec, Estado de México. 52166, MX, UNID Campus Tejupilco
Avenida 27 de Septiembre, Colonia Centro, , 48, Tejupilco, Estado de México. 51400, MX, UNID Campus Juchitán
Efraín R. Gómez Esquina 5 de Septiembre, Colonia Centro., Juchitán, Estado de Oaxaca 70000, MX, UNID Campus Atlixco
Avenida Independencia número , Colonia Álvaro Obregón,, 907, Atlixco, Estado de Puebla 74260, MX, UNID Campus Playa del Carmen
Calle 28 Norte esquina Calle 50 Poniente, Supermanzana 012, Manzana 130, Lote 005, Colonia Ejidal., Solidaridad, Estado de Quintana Roo 77712, MX, UNID Campus Cancún
Sm. 38, Mza. 09, Lote 1-15, Locales FD-1N-1, FD-2N-1, FD-3N-1, Avenida Rodrigo Gómez (Antes Kabah), Cancún, Estado de Quintana Roo 77507, MX, UNID Campus Chetumal
Avenida Benito Juárez, Colonia Centro, Othón P. Blanco, , 168, Chetumal, Estado de Quintana Roo 77000, MX, UNID Campus Cozumel
Calle 45 Avenida Sur, Colonia Adolfo López Mateos, Cozumel , Estado de Quintana Roo 77667, MX, UNID Campus San Luis Potosí
Av. Real de Lomas, Fraccionamiento Las Lomas 4ª Sección, 1025, San Luis Potosí , Estado de San Luis Potosí 78216, MX, UNID Campus Hermosillo
Boulevard Luis Encinas Johnson, esquina con la Calle Francisco Monteverde, Colonia Valle Hermoso, 258, Hermosillo, Estado de Sonora 83209, MX, UNID Campus Ciudad Obregón
California Norte, Plaza Las Palmas (locales 13 y 14, Planta Baja, 8 al 20 Planta Alta), Colonia Centro, Cajeme, , 238, Ciudad Obregón, Estado de Sonora. 77515, MX, UNID Campus Coatzacoalcos
Avenida Universidad Veracruzana, Colonia Lomas de Barrillas., 2919, Coatzacoalcos, Estado de Veracruz 96535, MX, UNID Campus Tuxpan
Avenida Morelos número 35 y Avenida Juárez., Tuxpan, Estado de Veracruz 92800, MX, UNID Campus Tizimín
Calle 46 entre 49 y 49B, Colonia Centro., 391, Tizimín , Estado de Yucatán 97700, MX, UNID Campus Zacatecas
Avenida San Simón, Fraccionamiento La Cañada, , 11, Guadalupe, Estado de Zacatecas 98617, MX, UNID Campus Fresnillo
Prolongación Sonora, Colonia Tecnológica., 427, Fresnillo, Estado de Zacatecas 99020, MX, UNID Campus Monterrey
Av. Padre Mier 1661 Col. Obispado, Monterrey, Nuevo León 64040, MX, UNID Campus Taxqueña
Cerro de Jesús, Colonia Campestre Churubusco, , 67, Delegación Coyoacán., Taxqueña 04200, MX",Programas de gestión educativa,"Monterrey Centro, Nuevo León",64000,Tapachula
"At xpd global, we connect minds to move the world. With over 22 years of experience and 1,300+ logistics professionals, we offer premium, time-sensiti...",,1001-5000 empleados,,"Transporte, logística, cadena de suministro y almacenamiento","Monterrey, Nuevo León",,Tapachula
"Lubtrac es el Distribuidor Autorizado de la marca de lubricantes Mobil para los estados de Jalisco, Colima, Nayarit, Michoacán, Chiapas y Tabasco en M...",3337771800,201-500 empleados,,Comercio al por mayor de petróleo y productos derivados,"Zapopan, Jalisco",,Tapachula
"Cafés de Especialidad de Chiapas, (CAFESCA) ubicada en Chiapas, también forma parte de grupo E-COM, es la única fábrica de café liofilizado en México ...",,1001-5000 empleados,"Principal
Av. Puerto Chiapas Manzana 3, , Lotes 2, 3, 4 y 5 Recinto Fiscalizado Estratégico, Tapachula, Chiapas, México 30830 , MX",Fabricación de alimentos y bebidas,"Tapachula, Chiapas, México",30830,Tapachula
"Trabajamos por un mundo justo que promueva los derechos de la niñez y la igualdad de las niñas.
Buscamos el compromiso de la ciudadanía y construimos ...",,11-50 empleados,"Principal
Oficina
Chiapas, Tapachula 30700, MX",Organizaciones sin ánimo de lucro,"Chiapas, Tapachula",30700,Tapachula
Señoriales Corporación de Servicio es líder en su giro a nivel internacional con presencia en Guatemala y México fundada en 1986. Compañía dedicada a ...,50222970000,1001-5000 empleados,,Servicios para el individuo y la familia,"Guatemala, Guatemala",,Tapachula
"When it comes to high-quality, affordable maintenance and repairs, look no further than Bosch Car Service! As an expert workshop for all car makes, we...",9612122824,11-50 empleados,"Principal
https://goo.gl/maps/fRdiKARAWk92
Carretera Panamericana 5612, Col. Plan de Ayala, Tuxtla Gutierrez, Chiapas 29020, MX, https://goo.gl/maps/6mYy5QTj8DH2
Prolongacion Zaragoza No. 232, Col. Fátima, Aguascalientes, Aguascalientes 20130, MX, https://goo.gl/maps/cMQxwo7QW68ogdAe6
Francisco Sarabia No. 4229-1, Fracc. Aviación, Tijuana, Baja California 22420, MX, https://goo.gl/maps/mh2AHzBi8Jn
Calle 56 S/No, Col. Playa Norte, Ciudad del Carmén, Campeche 24115, MX, https://goo.gl/maps/afYhobvkvcK2
Carretera a Talisman Km 1.5 No. 11, Fracc. Bonanza, Tapachula, Chiapas 30745, MX, https://goo.gl/maps/QLUhZTQckqJ2
Périferico de la Juventud No. 8708, Col. Lomas Universidad, Chihuahua, Chihuahua 31123, MX, https://goo.gl/maps/MJQBkngHrDaF7jtV8
Avenida Revolución No. 1901, Col. San Angel, Del. Alvaro Obregón, Ciudad de México 01000, MX, https://goo.gl/maps/e6Td6j5bqak
Hacienda Ecolastica No. 32, Col. Providencia, Del. Azcapotzalco, Ciudad de México 02440, MX, https://goo.gl/maps/gsXEMWMA5M82
Av. Aztecas No. 793, Col. Ajusco, Del. Coyoacán, Ciudad de México 04300, MX, https://goo.gl/maps/2jRd5ChrWPJ2
Carretera México Toluca No. 5591, Col. Cuajimalpa, Del. Cuajimalpa, Ciudad de México 05000, MX, https://goo.gl/maps/Btd34ECuwB52
Av. Baja California No. 153, Col. Roma Sur, Del. Cuauhtemoc, Ciudad de México 06760, MX, https://goo.gl/maps/G4pAq8rwKB12
Maple No. 87-1, Col. Santa María Insurgentes, Del. Cuauhtemoc, Ciudad de México 06430, MX, https://goo.gl/maps/8LA2n7kStvLevUuF6
Francisco VIlla Manzana 23 Lote 10, Col. Zona Escolar, Del. Gustavo A. Madero, Ciudad de México 07230, MX, https://goo.gl/maps/vmdj1NT4DRz
4ta. Cerrada de Galeana No. 68, Col. Xaltocan, Del. Xochimilco, Ciudad de México 16090, MX, https://goo.gl/maps/PxLsKPG2iCR2
Carretera a San Pablo No. 155, Col. Santiago Tepacatlalpan, Del. Xochimilco, Ciudad de México 16200, MX, https://goo.gl/maps/QQaCZz9nUTG2
Boulevard Harold R. Pape S/No, Zona Centro, Monclova, Coahuila 25700, MX, https://goo.gl/maps/KZSZXbi54bt
Boulevard José Musa De León No. 2445, Col. Los Pinos IV Sector, Saltillo, Coahuila 25204, MX, https://goo.gl/maps/51AZRfJrRR22
Cuauhtemoc No. 329 A Sur, Centro, Durango, Durango 34000, MX, https://goo.gl/maps/1QmwzNqjLAJ2
Avenida La Quebrada No. 23 esquina Unión, Fracc. La Quebrada, Cuautitlán Izcalli, Estado de México 54769, MX, https://goo.gl/maps/a9wnCo813Rn
Carretera Metepec Sacango No. 421, Col. San Jorge Pueblo Nuevo, Metepec, Estado de México 52164, MX, https://goo.gl/maps/5jB5b8QnBCThG8Uq7
Ceboruco No. 45, Col. Azteca, Metepec, Estado de México 50180, MX, https://maps.app.goo.gl/t475VsEn7VJiFvCg8
Prolongación Benito Juarez No. 51, Col. Tequexquinahuac, Tlalnepantla, Estado de México 54020, MX, https://goo.gl/maps/GVBT93xYT4Q2
José Vicente Villada No. 322, Col. Santa Ana Tlalpatitlan, Toluca, Estado de México 50160, MX, https://goo.gl/maps/uPaWpvX97McZcjW16
Avenida Independencia Oriente No. 1605, Col. Zona Industrial, Toluca, Estado de México 50071, MX, https://goo.gl/maps/rwy9BeZMRZoWe2GQ6
Privada Ejército Nacional No. 27, Col. Centro, Uriangato, Guanajuato 38980, MX, https://goo.gl/maps/3W82WccsMNr
Boulevard Everardo Marquez No. 502, Col. Ex Hacienda Coscotitlán, Pachuca de Soto, Hidalgo 42064, MX, https://goo.gl/maps/Pp5GmKWwTqVyHBHi8
Carretera Federal México Pachuca Km 40.85, Col. Tecámac de Felipe Villanueva, Tecámac de Felipe Villanueva, Hidalgo 55740, MX, https://goo.gl/maps/gsFjr31C1zjHWRxB6
Avenida Hidalgo No. 100, Col. El Tinaco, Tezontepec de Aldama, Hidalgo 42764, MX, https://goo.gl/maps/diW3toh8NWw
Volcán Zacapu No. 51, Col. Huentintan El Bajio, Guadalajara, Jalisco 44250, MX, https://goo.gl/maps/gMQNfkEpgo12
Calzada Independencia Norte No. 1436, Col. Independencia Norte, Guadalajara, Jalisco 44340, MX, https://goo.gl/maps/kiEj8npupy62
Juan José Baz No. 1109, Col. Alcalde Barranquitas, Guadalajara, Jalisco 44270, MX, https://goo.gl/maps/pof7h462dSr
Privada del Niño No. 25 A, Fracc. Camino Real, Guadalajara, Jalisco 45040, MX, https://goo.gl/maps/qdUW2nG597K2
Av. Patria No. 2451, Col. Lagos del Country, Guadalajara, Jalisco 44210, MX, https://goo.gl/maps/EAjYT9d63fyAasrE6
San Jorge No. 1890, Col. Vicente Guerrero, Guadalajara, Jalisco 44330, MX, https://goo.gl/maps/65p2Fv1sAyWJ8RkT8
Av. Patria No. 874, Col. Jardines de Guadalupe, Guadalajara, Jalisco 45030, MX, https://goo.gl/maps/hguQRsGKL5v
Calzada Norte No. 89 B, Col. Ciudad Granja, Zapopan, Jalisco 45010, MX, https://goo.gl/maps/mxECHbwQNPccEXTV8
Av. Copérnico No. 4140, Col. Arboledas, Zapopan, Jalisco 45070, MX, https://goo.gl/maps/Qt5AZev67JM2
Avenica Camelinas No. 2089, Col. Bosques Camelinas, Morelia, Michoacán 58290, MX, https://goo.gl/maps/DPqRVWYavggLzvE86
Cedro No. 290, Col. Los Angeles, Morelia, Michoacán 58100, MX, https://goo.gl/maps/zTnYHEAzYfn
LLavale No. 3309, Col. Valle del Mirador, Monterrey, Nuevo León 64750, MX, https://goo.gl/maps/5meuTjDAaQ32
Av. San Jerónimo No. 504, Col. San Jerónimo, Monterrey, Nuevo León 64640, MX, https://goo.gl/maps/kb4F2t6AMsF2
Camino al Mirador y Avenida Lázaro Cardenas No. 2750 A, Col. Quince de Septiembre, Monterrey, Nuevo León 64760, MX, https://goo.gl/maps/zyRixVAaUWz4aA6X6
Avenida Juárez No. 1309, Col. Sarabia, Monterrey, Nuevo León 64490, MX, https://goo.gl/maps/giKBSREDadW8G1jy8
Calzada Porfirio DIaz No. 143, Col. Reforma, Oaxaca, Oaxaca 68050, MX, https://goo.gl/maps/NwGHXePsRAFCPvMZ9
Emiliano Zapata No. 1206, Col. Revolución, Atlixco, Puebla 74270, MX, https://goo.gl/maps/dSjaKvRCCt42
Parcela 397 Z13 P1/2, Col. Conin, Querétaro, Querétaro 76246, MX, https://goo.gl/maps/9BTZkLJNftM2
Carrizal No. 102 esquina Ignacio Pérez 43 Sur, Col. El Carrizal, Querétaro, Querétaro 76030, MX, https://goo.gl/maps/bdwPSVFWbxkMrNN36
Boulevard Bernardo Quintana No. 92, Col. Las Carretas, Querétaro, Querétaro 76050, MX, https://goo.gl/maps/PcPNADGUwXp
Carretera 57 Km 2 No. 1315, Col. Jardines del Oriente, San Luis Potosí, San Luis Potosí 78390, MX, https://goo.gl/maps/1JKSHhTHJm12
Avenida Chapultepec No. 490, Col. Colinas del Parque, San Luis Potosí, San Luis Potosí 78209, MX, https://goo.gl/maps/Unuiv2Gwn6JEmw8z9
Avenida Prolongación Muñoz No. 153, Col. San Pedro, San Luis Potosí, San Luis Potosí 78230, MX, https://goo.gl/maps/Ys3712UTB832
Benito Juárez (Oriente) No. 1248, Col. Miguel Hidalgo, Culiacán, Sinaloa 80090, MX, https://goo.gl/maps/x4tWRf1FCJt
Rodolfo Elias Calles No. 2001, Col. Prados del Tepeyac, Ciudad Obregón, Sonora 85150, MX, https://goo.gl/maps/VtfT3iMVqH32
Boulevard José María Morelos No. 700, Cumbres Residencial, Hermosillo, Sonora 83147, MX, https://goo.gl/maps/x6VifrpZ5yq
Avenida Tamaulipas No. 103, Col. Unidad Nacional, Ciudad Madero, Tamaulipas 89410, MX, https://goo.gl/maps/GDb1iV9cmdp
0 Y 1 Berriozabal No. 1738, Col. Morelos, Ciudad Victoria, Tamaulipas 87050, MX, https://goo.gl/maps/BRq4MVnJ3sv
Colón Oriente No. 1410 esquina Norte 26, Col. Centro, Orizaba, Veracruz 94300, MX, https://goo.gl/maps/nNndYSdPo8ZMoWFY6
Calle 117 No. 321, Col. Francisco Villa Poniente, Mérida, Yucatán 97219, MX, https://goo.gl/maps/9DgB7vDBAZr
Avenida Luis Moya No. 513, Col. Lomas del Lago, Zacatecas, Zacatecas 98085, MX",Fabricación de vehículos de motor,"Tuxtla Gutierrez, Chiapas",29020,Tapachula
GCP tiene en su portafolio soluciones de alto rendimiento para impermeabilización de losas de techos y estructuras subterráneas sumergidas en el nivel...,,+10.001 empleados,,Construcción,,,Tapachula
"DAE HIPOTECARIA es una SOFOM especializada en la originación de crédito FOVISSSTE.
Contamos con personal altamente calificado y comprometido en la ate...",,11-50 empleados,"Principal
DAE Hipotecaria Matriz Ciudad de México
Río Lerma 198 Piso 4, Col. Cuauhtémoc , Delegación Cuauhtémoc, Ciudad de México 06500, MX, DAE Hipotecaria Sucursal Campeche
Calle 12, No. 123 entre 65 y 67, Col. San Francisco de Campeche Centro, Campeche, Campeche 24000, MX, DAE Hipotecaria Sucursal Chiapas
6a Oriente No.17, Col. Centro, Tapachula, Chiapas 30700, MX, DAE Hipotecaria Sucursal Guerrero
Centro Kennedy Costera Miguel Alemán No. 218 Local 109 , Esq. con Álvaro Saavedra Edificio 13, Acapulco, Guerrero 39670, MX, DAE Hipotecaria Sucursal Hidalgo
Alfonso Cravioto No. 107, Esq. Avenida Juárez, Fracc. Constitución, Pachuca de Soto, Hidalgo 42080, MX, DAE Hipotecaria Sucursal Cuernavaca Morelos
Av. Plan de Ayala 1200, planta Alta, Col. Vicente Guerrero, Cuernavaca, Morelos 62430, MX, DAE Hipotecaria Sucursal Puebla
Calle 19 Sur No. 501 Piso 2 Desp. 7, Col. Centro, Puebla, Puebla , Puebla 72000, MX, DAE Hipotecaria Sucursal Cancún
Av. Xel-Ha, Sm 28 Mz 10 Lote 8, Loc. 8. P.B. Centro Comercial Los Portales, Municipio Benito Juárez, Cancún, Q Roo 77509, MX, DAE Hipotecaria Sucursal Queretaro
José María Truchuelo No. 9 Planta baja, Col. Cimatario, Querétaro, Querétaro 76030, MX, DAE Hipotecaria Sucursal Chetumal
Avenida Venustiano Carranza No. 361 P.B., Col. Italia, Chetumal, Quintana Roo 77035, MX, DAE Hipotecaria Sucursal Sonora
Blvd. Navarrete No. 97 esquina con Américas, Local 23, Centro Medico Juan Navarrete, Col. Valle Verde, Hermosillo , Sonora 83200, MX, DAE Hipotecaria Sucursal Veracruz
Juan de Dios Peza No. 426 Esq. Tuero Molina Plaza Zaragoza Loc. 15, Col. Ignacio Zaragoza, Veracruz, Veracruz 91910, MX",Servicios financieros,"Delegación Cuauhtémoc, Ciudad de México",06500,Tapachula
Head Hunting Mexico es una firma de reclutamiento especializado que nace con la idea en que muchas empresas tienen problemas encontrando los perfiles ...,,,"Principal
Polanco, Ciudad de Mexico, Ciudad de Mexico 30815, MX",Dotación y selección de personal,"Ciudad de Mexico, Ciudad de Mexico",30815,Tapachula
Somos Atelier Consultoría Tecnológica y nos especializamos en facilitar a las organizaciones la optimización de sus procesos y recursos a través de la...,55 34635121,2-10 empleados,"Principal
Sede
09696 Iztalapa, CDMX, México, MX, 50140 Toluca, Estado de México, Toluca, MX",Servicios y consultoría de TI,,09696,Tapachula
"CALLE TERCERA PONIENTE 0 SN 301, Tapachula De Córdova Y Ordóñez 30700, MX",,51-200 empleados,"CALLE TERCERA PONIENTE 0 SN 301, Tapachula De Córdova Y Ordóñez 30700, MX",Seguros,,30700,Tapachula
"Kimuul se origina de una semilla Tapachulteca en 2017, inspirada por la pasión, amor y olor al café, los hermosos paisajes de Chiapas, la tradición y ...",9615791772,11-50 empleados,,Servicios de alimentos y bebidas,"TAPACHULA, Chiapas",,Tapachula
"Tapachula, Chiapas MX",,,"Tapachula, Chiapas MX",,"Tapachula, Chiapas",,Tapachula
"Mercantil del Constructor, S.A. de C.V., es una empresa fundada en 1981 en la ciudad de Tapachula, Chis.  Con presencia comercial en todo el estado de...",9616041715,201-500 empleados,,Materiales de construcción,"Tapachula, Chiapas",,Tapachula
"En Bio-Engine somos especialistas en generación eléctrica con Biogas.
Rediseñamos el motor para que sea capaz de soportar la fuerte corrosión del ácid...",,2-10 empleados,"Principal
Headquarters
Toluca, Toluca, MX",Servicios para energías renovables,,,Tapachula
"Proveedores de consultoria y equipos de ultra-filtración para fluidos oleosos (Combustible Diésel, Aceite motor, Aceites Hidráulicos e industriales) c...",+50223828430,11-50 empleados,,Petróleo y gas,"Ciudad de Guatemala, Guatemala",,Tapachula
"COFAS hospitals is an NGO that seeks to reduce social inequity in health, offering comprehensive, specialized and quality medical services, through a ...",,51-200 empleados,"Principal
Hospital Mazahua
Domicilio Conocido SN, Santa Ana Nichi, San Felipe del Progreso, México 50696, MX, Hospital Cofat
Carretera a Nueva Alemania Km 3.5, Colonia 5 de Febrero, Tapachula, Chiapas 30710, MX, Hospital Alfredo Harp Calderoni Un Kilo de Ayuda
Libramiento ATA sin Número, Paraje la Cortina, Temascalcingo, México 50400, MX",Hospitales y atención sanitaria,"San Felipe del Progreso, México",50696,Tapachula
"Desde que apareciera publicado por vez primera el 31 de diciembre de 1977 en la llamada “Perla del Soconusco” la ciudad de Tapachula, capital económic...",,1001-5000 empleados,"Principal
AV. ANTONIO DAMIANO CAJAS MZ M ALTOS 2 FRACC. INSURGENTES, Tapachula, Chiapas 30790, MX",Telecomunicaciones,"Tapachula, Chiapas",30790,Tapachula
Tisano is a commodities exporter focused on processing and preparing various cacao from producers and co-ops in Venezuela and Mexico with end customer...,,11-50 empleados,,Comercio al por mayor,"Nevada, NV",,Tapachula
"AVENIDA PRIMERA NORTE 53 A, Tapachula De Córdova Y Ordóñez 30700, MX",,11-50 empleados,"AVENIDA PRIMERA NORTE 53 A, Tapachula De Córdova Y Ordóñez 30700, MX",Contabilidad,,30700,Tapachula
"Cocina italiana con deliciosas: Pizzas, pastas, ensaladas y mas.",2299053541,11-50 empleados,"Principal
11 Privada Sur 1, 30700 Tapachula, Chiapas.
Tapachula, Chiapas 30700, MX, AVENIDA UNDÉCIMA NORTE 0 SN, Tapachula De Córdova Y Ordóñez 30700, MX",Restauración,"Tapachula, Chiapas",30700,Tapachula
"CALLE DÉCIMA TERCERA PONIENTE 3, Tapachula De Córdova Y Ordóñez 30700, MX",,2-10 empleados,"CALLE DÉCIMA TERCERA PONIENTE 3, Tapachula De Córdova Y Ordóñez 30700, MX",Construcción,,30700,Tapachula
